path,label,mean_lum,std_lum
data\synthetic_frames\good_00000.jpg,Good,131.81,28.43
data\synthetic_frames\poor_00000.jpg,Poor,19.6,4.36
data\synthetic_frames\mixed_00000.jpg,Mixed,74.39,15.89
data\synthetic_frames\good_00001.jpg,Good,131.81,28.41
data\synthetic_frames\poor_00001.jpg,Poor,13.94,10.97
data\synthetic_frames\mixed_00001.jpg,Mixed,90.58,20.15
data\synthetic_frames\good_00002.jpg,Good,131.77,28.43
data\synthetic_frames\poor_00002.jpg,Poor,21.27,4.68
data\synthetic_frames\mixed_00002.jpg,Mixed,72.66,15.81
data\synthetic_frames\good_00003.jpg,Good,131.83,28.41
data\synthetic_frames\poor_00003.jpg,Poor,16.08,11.69
data\synthetic_frames\mixed_00003.jpg,Mixed,66.1,14.38
data\synthetic_frames\good_00004.jpg,Good,131.75,28.42
data\synthetic_frames\poor_00004.jpg,Poor,23.33,5.14
data\synthetic_frames\mixed_00004.jpg,Mixed,81.62,17.74
data\synthetic_frames\good_00005.jpg,Good,131.71,28.43
data\synthetic_frames\poor_00005.jpg,Poor,20.57,4.56
data\synthetic_frames\mixed_00005.jpg,Mixed,90.67,19.7
data\synthetic_frames\good_00006.jpg,Good,131.66,28.54
data\synthetic_frames\poor_00006.jpg,Poor,27.04,17.48
data\synthetic_frames\mixed_00006.jpg,Mixed,76.38,17.09
data\synthetic_frames\good_00007.jpg,Good,131.71,28.57
data\synthetic_frames\poor_00007.jpg,Poor,32.79,7.25
data\synthetic_frames\mixed_00007.jpg,Mixed,91.32,19.94
data\synthetic_frames\good_00008.jpg,Good,131.72,28.52
data\synthetic_frames\poor_00008.jpg,Poor,26.37,5.83
data\synthetic_frames\mixed_00008.jpg,Mixed,86.55,19.34
data\synthetic_frames\good_00009.jpg,Good,131.69,28.53
data\synthetic_frames\poor_00009.jpg,Poor,33.07,7.28
data\synthetic_frames\mixed_00009.jpg,Mixed,76.83,17.19
data\synthetic_frames\good_00010.jpg,Good,131.68,28.54
data\synthetic_frames\poor_00010.jpg,Poor,15.47,13.23
data\synthetic_frames\mixed_00010.jpg,Mixed,87.84,19.64
data\synthetic_frames\good_00011.jpg,Good,131.74,28.54
data\synthetic_frames\poor_00011.jpg,Poor,24.57,5.43
data\synthetic_frames\mixed_00011.jpg,Mixed,74.78,16.04
data\synthetic_frames\good_00012.jpg,Good,131.71,28.5
data\synthetic_frames\poor_00012.jpg,Poor,11.84,8.31
data\synthetic_frames\mixed_00012.jpg,Mixed,64.28,13.76
data\synthetic_frames\good_00013.jpg,Good,131.68,28.5
data\synthetic_frames\poor_00013.jpg,Poor,26.52,20.51
data\synthetic_frames\mixed_00013.jpg,Mixed,73.11,15.67
data\synthetic_frames\good_00014.jpg,Good,131.72,28.53
data\synthetic_frames\poor_00014.jpg,Poor,36.29,7.97
data\synthetic_frames\mixed_00014.jpg,Mixed,85.56,18.67
data\synthetic_frames\good_00015.jpg,Good,131.72,28.55
data\synthetic_frames\poor_00015.jpg,Poor,20.01,4.46
data\synthetic_frames\mixed_00015.jpg,Mixed,77.64,16.66
data\synthetic_frames\good_00016.jpg,Good,131.74,28.56
data\synthetic_frames\poor_00016.jpg,Poor,21.84,16.05
data\synthetic_frames\mixed_00016.jpg,Mixed,73.12,16.37
data\synthetic_frames\good_00017.jpg,Good,131.75,28.58
data\synthetic_frames\poor_00017.jpg,Poor,16.16,13.85
data\synthetic_frames\mixed_00017.jpg,Mixed,63.62,14.25
data\synthetic_frames\good_00018.jpg,Good,131.81,28.58
data\synthetic_frames\poor_00018.jpg,Poor,12.43,9.17
data\synthetic_frames\mixed_00018.jpg,Mixed,64.68,14.11
data\synthetic_frames\good_00019.jpg,Good,131.8,28.53
data\synthetic_frames\poor_00019.jpg,Poor,45.54,9.96
data\synthetic_frames\mixed_00019.jpg,Mixed,69.32,15.12
data\synthetic_frames\good_00020.jpg,Good,131.74,28.53
data\synthetic_frames\poor_00020.jpg,Poor,16.77,12.42
data\synthetic_frames\mixed_00020.jpg,Mixed,81.85,17.53
data\synthetic_frames\good_00021.jpg,Good,131.78,28.53
data\synthetic_frames\poor_00021.jpg,Poor,20.72,4.6
data\synthetic_frames\mixed_00021.jpg,Mixed,77.21,16.53
data\synthetic_frames\good_00022.jpg,Good,131.79,28.57
data\synthetic_frames\poor_00022.jpg,Poor,40.58,8.91
data\synthetic_frames\mixed_00022.jpg,Mixed,65.48,14.67
data\synthetic_frames\good_00023.jpg,Good,131.78,28.57
data\synthetic_frames\poor_00023.jpg,Poor,12.6,8.17
data\synthetic_frames\mixed_00023.jpg,Mixed,72.07,15.46
data\synthetic_frames\good_00024.jpg,Good,131.78,28.57
data\synthetic_frames\poor_00024.jpg,Poor,22.59,19.64
data\synthetic_frames\mixed_00024.jpg,Mixed,88.49,19.78
data\synthetic_frames\good_00025.jpg,Good,131.76,28.59
data\synthetic_frames\poor_00025.jpg,Poor,36.47,8.03
data\synthetic_frames\mixed_00025.jpg,Mixed,70.49,15.4
data\synthetic_frames\good_00026.jpg,Good,131.81,28.59
data\synthetic_frames\poor_00026.jpg,Poor,12.58,8.5
data\synthetic_frames\mixed_00026.jpg,Mixed,63.7,13.7
data\synthetic_frames\good_00027.jpg,Good,131.76,28.6
data\synthetic_frames\poor_00027.jpg,Poor,12.48,11.07
data\synthetic_frames\mixed_00027.jpg,Mixed,78.3,17.11
data\synthetic_frames\good_00028.jpg,Good,131.73,28.59
data\synthetic_frames\poor_00028.jpg,Poor,22.52,5.0
data\synthetic_frames\mixed_00028.jpg,Mixed,62.16,13.37
data\synthetic_frames\good_00029.jpg,Good,131.82,28.6
data\synthetic_frames\poor_00029.jpg,Poor,44.84,9.84
data\synthetic_frames\mixed_00029.jpg,Mixed,79.71,17.12
data\synthetic_frames\good_00030.jpg,Good,131.85,28.59
data\synthetic_frames\poor_00030.jpg,Poor,14.92,11.18
data\synthetic_frames\mixed_00030.jpg,Mixed,76.92,17.21
data\synthetic_frames\good_00031.jpg,Good,131.83,28.62
data\synthetic_frames\poor_00031.jpg,Poor,42.91,9.4
data\synthetic_frames\mixed_00031.jpg,Mixed,65.77,14.76
data\synthetic_frames\good_00032.jpg,Good,131.79,28.61
data\synthetic_frames\poor_00032.jpg,Poor,27.73,6.14
data\synthetic_frames\mixed_00032.jpg,Mixed,76.01,17.03
data\synthetic_frames\good_00033.jpg,Good,131.81,28.62
data\synthetic_frames\poor_00033.jpg,Poor,40.88,9.0
data\synthetic_frames\mixed_00033.jpg,Mixed,64.19,13.81
data\synthetic_frames\good_00034.jpg,Good,131.8,28.6
data\synthetic_frames\poor_00034.jpg,Poor,12.46,8.82
data\synthetic_frames\mixed_00034.jpg,Mixed,73.4,16.05
data\synthetic_frames\good_00035.jpg,Good,131.79,28.55
data\synthetic_frames\poor_00035.jpg,Poor,23.25,5.15
data\synthetic_frames\mixed_00035.jpg,Mixed,68.33,15.29
